Date, Source, Source_Name, Author, Title, Description, Content
2024-05-06,business-insider,Business Insider,Sarah Jackson,Andreessen Horowitz investor says half of Google s white collar staff probably do no real work,Andreessen Horowitz s David Ulevitch called Google an amazing example of a company with BS jobs,David Ulevitch told BI his comments about BS jobs and fake work at companies like Google ranked among his least controversial statements OpenDNS ul li A general partner at Andreessen Horowitz is chars
2024-05-19,business-insider,Business Insider,Augustina Boateng,I m a recent college graduate No one told me it would be this hard to make ends meet,A recent college graduate can t get a full time job so she has several part time jobs to make ends meet She feels like she has failed,The author not pictured is a recent college graduate who can t make ends meet d sign Getty Images ul li After graduating college I couldn t get a full time job so I am working several part tim chars
1970-01-01,None,[Removed],None,Removed,Removed,Removed
2024-04-23,business-insider,Business Insider,Madison Hoff,The top fast growing high paying jobs in the US,Business Insider ranked fast growing and high paying jobs and listed the typical level of education required for each of the top,Software developers had a median annual wage of and this job role was projected to see employment increase by from to Luis Alvarez Getty Images ul li Employment is proj chars
2024-05-14,business-insider,Business Insider,Jane Zhang,I ve flipped burgers and hauled packages but I didn t realize how bad hourly service jobs were until I got a to office job,A year old who has worked minimum wage and corporate jobs shares the differences between the two,Justin Jordan says he has more mental energy to focus on things like his health now that he has a corporate office job something he couldn t do when he worked a physical labor job Kristen Davis u chars
2024-04-26,business-insider,Business Insider,Camilo Fonseca,Meta s median pay for employees is a year,Meta s median salary is significantly higher than many tech jobs though on par with rivals like Google and Amazon,Meta s median pay is just over over Sebastien Bozon AFP via Getty Images ul li The median employee at Meta earned over in according to a recent filing li li This figure chars
2024-05-18,business-insider,Business Insider,Lakshmi Varanasi,AI godfather Geoffrey Hinton says he s very worried about AI taking jobs and has advised the British government to adopt a universal basic income,Geoffrey Hinton an early pioneer of AI technology says people will lose jobs and advised the British government to adopt a universal basic income,Geoffrey Hinton believes the government needs to establish a universal basic income YouTube Screenshot ul li Geoffrey Hinton is worried that AI will take lots of mundane jobs the BBC reported chars
2024-05-17,business-insider,Business Insider,Erica Sweeney,Michelle Mark,Google jobs are coveted but competitive Here s how to get hired and what skills make you fit for a Google career,Google jobs are among the most coveted and competitive roles in tech Here are the skills needed to get hired and thrive in a career at Google,Google is known for being one of the best American companies to work for but also one of the hardest to get a job at Mason Trinca Getty Images ul li Google is one of America s most highly sought chars
2024-05-13,business-insider,Business Insider,Filip De Mott,Why a debt fueled US economy is facing a hard landing in chief economist says,Once people do begin to lose their jobs once the economy does begin to slow down you already have a lot of distress Torsten Slok told Bloomberg,zhuweiyi Getty Images ul li The US will keep growing for several quarters but will see a hard landing Apollo s Torsten Slok told Bloomberg TV li li Debt is fueling the growth and bo chars
2024-05-02,business-insider,Business Insider,Jacob Zinkula,A California Gen Xer who made over million secretly working remote jobs said it allowed him to travel the world max out his k and send his kids to private school,A Gen Xer in California made over million secretly working two remote tech jobs He shared his top pieces of advice for overemployed workers,A California Gen Xer who made million secretly working two remote jobs says people shouldn t feel bad about job juggling The subject in the story is not pictured Jose Martinez Getty Images ul chars
2024-05-21,business-insider,Business Insider,Lindsay Dodgson,Companies are unbossing workplace culture and millennials are in the firing line,Middle management positions are increasingly being ditched by companies and it means millennials are particularly at risk of losing their jobs,The great unbossing is afoot and millennials are the ones most at risk Hours Getty Images ul li Companies are cutting middle management roles and millennials are likely to be most affec chars
2024-05-13,business-insider,Business Insider,Ella Hopkins,My dream was to be a surgeon but I became an electrician instead I have no regrets,An electrician shared why she chose that career instead of a doctor after studying pre med,Lexis Czumak Abreu said being an electrician is physically demanding Courtesy of Lexis Czumak Abreu ul li Lexis Czumak Abreu started doing engineering jobs on the side while studying pre med in co chars
